Cod_cliente,Ultima_Compra,Total_transacoes,Valor_total_gasto,Avg_transacao,diversidade_produtos,Dia_fav_compra,UK,Gastos_medios_mensais,Desvio_padrao_gastos_mensais,Tendencia_gastos,Cluster
12347,-1.02030877057738,0.7292615736070851,1.4401949261610028,-0.0327100629416255,0.3778704131911735,1,0,0.0364508912766934,1.271036945744954,0.0633933965646436,1
12348,-0.3629312775102347,-0.4634367022209633,0.0512105105313189,0.2727038446398305,-0.52304781677535,3,0,-0.2330720342853109,0.554343911627328,-0.5878045451031535,0
12349,-0.8762260323708824,-0.1171694608515299,0.061030430566908,-0.0682641692725971,0.0372793750330975,0,0,0.9213581927470598,-0.510681624353513,0.035669011064528,1
12350,1.7532839398976985,-0.5480798056668249,-0.5013546009148958,-0.0872814819612563,-0.5779818551879429,2,0,-0.3013030821770934,-0.510681624353513,0.035669011064528,1
12352,-0.7141329518885725,-0.0786953229215928,0.0263101716916913,-0.0914156803718344,-0.1275227402046811,1,0,-0.2466057693277805,0.116406186465812,0.0190939736191281,1
12353,0.798735799279652,-0.6404177366986737,-0.6006658552383816,-0.0474898222594422,-0.7098235473781658,3,0,-0.5172121445245302,-0.510681624353513,0.035669011064528,0
12354,1.0508805911410228,-0.2248970470553536,-0.1218057467574646,-0.0851110277957028,-0.1165359325221625,3,0,0.5238605689560024,-0.510681624353513,0.035669011064528,0
12355,0.888787510658713,-0.5711642884247871,-0.4215768162830791,0.0878018207267256,-0.6109422782354985,0,0,-0.1278610408561243,-0.510681624353513,0.035669011064528,1
12356,-0.8402053478192579,-0.2248970470553536,0.558979187152456,0.165834815726387,-0.182456778617274,1,0,0.2607997985266204,4.6686164999010185,-5.802273008784584,1
12357,-0.7411484653022908,0.3368253667217272,2.357721644720152,0.2123445478453905,0.6855010283016937,6,0,5.9145127946838,-0.510681624353513,0.035669011064528,2
12358,-1.029313941715286,-0.5403849780808374,-0.1949788978252171,0.2867601192357961,-0.6219290859180171,1,0,-0.1229941520602692,-0.0735510866361281,0.7670224530065949,1
12359,-0.5250243579925444,1.237120194282254,2.437455914196715,-0.0118323609682062,1.5974060659507356,3,0,1.0638907599768588,4.744256449412046,3.903462033083073,2
12360,-0.570050213682075,0.2983512287917901,0.4693524723815477,-0.0886250964446942,0.388857220873692,1,0,0.1958483819616345,0.9037706704170948,0.0362870214092482,1
12361,1.546165003725858,-0.6019435987687367,-0.5591330570573327,-0.0766359210540177,-0.6548895089655729,4,0,-0.4269171666489469,-0.510681624353513,0.035669011064528,0
12362,-1.011303599439474,1.2986788149701534,1.6467613681504034,-0.0862479323586118,1.4435907583954757,3,0,0.0116849069803218,1.5220786771468853,0.3391760985364963,2
12363,-0.0567554588214273,-0.494216012564913,-0.3768045565442534,-0.0294027042131631,-0.5010742014103128,0,0,-0.3206444976940985,-0.3400256260220682,-0.2498517681962754,1
12364,-0.9752829148878496,-0.0479160125776432,-0.0595790747446476,-0.1233523630935501,0.0043189519855418,4,0,-0.2932879575402911,0.5936843608501269,-0.3638993972109693,0
12365,1.5821856882774823,-0.5096056677368879,-0.4886433405635596,-0.1196315845240298,-0.52304781677535,0,0,-0.2736679835932857,-0.510681624353513,0.035669011064528,1
12367,-1.0022984283015677,-0.5942487711827493,-0.5707370984583242,-0.12149197380879,-0.6439027012830543,0,0,-0.452145099931997,-0.510681624353513,0.035669011064528,1
12370,-0.5790553848199811,0.6061443322312866,1.012629515689719,-0.064129970862019,0.806355912809398,1,0,0.5895548080009894,2.280318441286988,-3.08138976460152,2
12371,-0.5070140157167323,-0.194117736711404,0.0950737870270669,-0.0227879867562381,-0.0725887017920882,1,0,0.995370642016208,-0.510681624353513,0.035669011064528,1
12372,-0.3989519620618591,-0.2941504953292403,-0.0654101055486458,-0.0251651508423205,-0.391206124585127,2,0,-0.1916877120622409,-0.1431968173159562,0.0044594886561501,1
12373,1.7622891110356045,-0.5711642884247871,-0.4867528488186481,-0.0193772730675112,-0.6109422782354985,1,0,-0.2695579327959221,-0.510681624353513,0.035669011064528,1
12374,-0.8131898344055396,-0.4249625642910263,-0.342509779187073,-0.0762225012129599,-0.4021929322676456,0,0,0.0440357895512581,-0.510681624353513,0.035669011064528,1
12375,-0.9482674014741312,-0.5557746332528123,-0.4611756075639626,-0.0173101738622221,-0.6109422782354985,4,0,-0.4123585468168534,-0.4992306807425287,0.0165106903781971,0
12377,1.798309795587229,-0.0863901505075803,0.1048211818038997,-0.0669205547891592,0.0262925673505789,0,0,0.2028981877623978,1.1697258812945572,-2.775783649137305,1
12378,0.1233479639366946,1.0139701942886192,1.2944771762680516,-0.0883150315639008,1.6523401043633286,1,0,3.602950849429998,-0.510681624353513,0.035669011064528,2
12379,-0.3089002506827981,-0.3787935987751019,-0.267900627995948,-0.0660937151070436,-0.336272086172534,0,0,-0.202262420763386,-0.3169759846889902,-0.288415613706825,1
12380,-0.849210518957164,0.0982857115561175,0.5301528143054929,-0.0265087653257584,0.0812266057631718,4,0,0.0272408185500108,0.5813730543584914,0.5463742196310866,0
12381,-1.0022984283015677,-0.0402211849916558,0.069375670341121,-0.0915190353320988,0.0043189519855418,4,0,-0.0940100598217428,1.9937867869593373,-2.8125243641309297,0
12383,0.61863237652153,0.052116746040193,0.143714060566223,-0.0983404627095527,0.1581342595408019,2,0,-0.2683890385538074,0.7422675813033124,-0.8521275695400489,1
12384,-0.7861743209918214,-0.4788263573929381,-0.4380787301587391,-0.1016478214380151,-0.4791005860452756,2,0,-0.3872514973807846,-0.5102753005479621,0.0349891996853357,1
12386,1.996423560621163,-0.5942487711827493,-0.4493781654729546,0.1379289764549849,-0.6439027012830543,2,0,-0.3995343473979696,-0.0825640874138062,-0.680604978466362,1
12388,-0.9032415457846006,0.0982857115561175,0.7007563979863205,0.0099755356475931,-0.1275227402046811,3,0,-0.1236108348738548,1.1983291538774945,0.4015841074542392,0
12390,-0.3269105929586103,-0.4326573918770137,-0.3996064978972018,-0.1090893785770557,-0.4131797399501641,2,0,-0.0800961538402161,-0.510681624353513,0.035669011064528,1
12391,-0.849210518957164,0.0982857115561175,-0.4208563987127675,-0.2298079721659358,0.2570155286834691,4,0,-0.1262948066648015,-0.510681624353513,0.035669011064528,0
12393,-0.389946790923953,-0.1787280815394292,0.1214923212833242,-0.0218577921138581,-0.2373908170298669,2,0,-0.0562417413692432,0.0591160501677335,-0.3289570923204805,1
12394,-0.4709933311651079,-0.4788263573929381,-0.12128356489442,0.1692455294151139,-0.4791005860452756,4,0,-0.0428849522477173,0.8867767585199108,2.37372574721057,0
12395,-0.8672208612329763,0.4368581253395635,0.6533587238805204,-0.0849043178751739,0.2350419133184319,4,0,-0.2582802582454836,0.5426167691355491,0.0813966264876282,0
12397,-0.7231381230264786,0.2829615736198154,0.4272104620269469,-0.0928626498155367,0.443791259286285,2,0,0.5533457159805669,-0.4932466392425951,0.0064989227937272,1
12398,-0.6330864116474176,-0.024831529819681,0.0504465778057537,-0.1008209817558995,0.1691210672233205,1,0,0.8983482152651447,-0.510681624353513,0.035669011064528,1
