Cod_cliente,Ultima_Compra,Total_transacoes,Valor_total_gasto,Avg_transacao,diversidade_produtos,Dia_fav_compra,UK,Gastos_medios_mensais,Desvio_padrao_gastos_mensais,Tendencia_gastos
12347,-1.02030877057738,0.7292615736070851,1.4401949261610028,-0.032710062941625595,0.3778704131911735,1,0,0.0364508912766934,1.271036945744954,0.06339339656464361
12348,-0.36293127751023474,-0.46343670222096334,0.051210510531318955,0.27270384463983055,-0.52304781677535,3,0,-0.23307203428531095,0.554343911627328,-0.5878045451031535
12349,-0.8762260323708824,-0.11716946085152993,0.061030430566908,-0.06826416927259715,0.03727937503309756,0,0,0.9213581927470598,-0.510681624353513,0.03566901106452807
12350,1.7532839398976985,-0.5480798056668249,-0.5013546009148958,-0.08728148196125635,-0.5779818551879429,2,0,-0.3013030821770934,-0.510681624353513,0.03566901106452807
12352,-0.7141329518885725,-0.07869532292159288,0.02631017169169131,-0.09141568037183442,-0.1275227402046811,1,0,-0.24660576932778053,0.11640618646581202,0.019093973619128173
12353,0.798735799279652,-0.6404177366986737,-0.6006658552383816,-0.047489822259442246,-0.7098235473781658,3,0,-0.5172121445245302,-0.510681624353513,0.03566901106452807
12354,1.0508805911410228,-0.22489704705535365,-0.12180574675746464,-0.08511102779570284,-0.11653593252216253,3,0,0.5238605689560024,-0.510681624353513,0.03566901106452807
12355,0.888787510658713,-0.5711642884247871,-0.4215768162830791,0.08780182072672567,-0.6109422782354985,0,0,-0.1278610408561243,-0.510681624353513,0.03566901106452807
12356,-0.8402053478192579,-0.22489704705535365,0.558979187152456,0.16583481572638703,-0.182456778617274,1,0,0.26079979852662044,4.6686164999010185,-5.802273008784584
12357,-0.7411484653022908,0.33682536672172725,2.357721644720152,0.2123445478453905,0.6855010283016937,6,0,5.9145127946838,-0.510681624353513,0.03566901106452807
12358,-1.029313941715286,-0.5403849780808374,-0.1949788978252171,0.2867601192357961,-0.6219290859180171,1,0,-0.12299415206026923,-0.07355108663612817,0.7670224530065949
12359,-0.5250243579925444,1.237120194282254,2.437455914196715,-0.011832360968206258,1.5974060659507356,3,0,1.0638907599768588,4.744256449412046,3.903462033083073
12360,-0.570050213682075,0.29835122879179016,0.4693524723815477,-0.08862509644469421,0.38885722087369207,1,0,0.1958483819616345,0.9037706704170949,0.036287021409248214
12361,1.546165003725858,-0.6019435987687367,-0.5591330570573327,-0.07663592105401776,-0.6548895089655729,4,0,-0.4269171666489469,-0.510681624353513,0.03566901106452807
12362,-1.011303599439474,1.2986788149701534,1.6467613681504034,-0.0862479323586118,1.4435907583954757,3,0,0.011684906980321803,1.5220786771468853,0.33917609853649633
12363,-0.056755458821427365,-0.494216012564913,-0.37680455654425343,-0.02940270421316312,-0.5010742014103128,0,0,-0.3206444976940985,-0.34002562602206826,-0.24985176819627544
